城市	等级
北京市	0
上海市	0
广州市	0
深圳市	0
成都市	1
杭州市	1
重庆市	1
武汉市	1
西安市	1
苏州市	1
天津市	1
南京市	1
长沙市	1
郑州市	1
东莞市	1
青岛市	1
沈阳市	1
宁波市	1
昆明市	1
无锡市	2
佛山市	2
合肥市	2
大连市	2
福州市	2
厦门市	2
哈尔滨市	2
济南市	2
温州市	2
南宁市	2
长春市	2
泉州市	2
石家庄市	2
贵阳市	2
南昌市	2
金华市	2
常州市	2
南通市	2
嘉兴市	2
太原市	2
徐州市	2
惠州市	2
珠海市	2
中山市	2
台州市	2
烟台市	2
兰州市	2
绍兴市	2
海口市	2
扬州市	2
汕头市	3
湖州市	3
盐城市	3
潍坊市	3
保定市	3
镇江市	3
洛阳市	3
泰州市	3
乌鲁木齐市	3
临沂市	3
唐山市	3
漳州市	3
赣州市	3
廊坊市	3
呼和浩特市	3
芜湖市	3
桂林市	3
银川市	3
揭阳市	3
三亚市	3
遵义市	3
江门市	3
济宁市	3
莆田市	3
湛江市	3
绵阳市	3
淮安市	3
连云港市	3
淄博市	3
宜昌市	3
邯郸市	3
上饶市	3
柳州市	3
舟山市	3
咸阳市	3
九江市	3
衡阳市	3
威海市	3
宁德市	3
阜阳市	3
株洲市	3
丽水市	3
南阳市	3
襄阳市	3
大庆市	3
沧州市	3
信阳市	3
岳阳市	3
商丘市	3
肇庆市	3
清远市	3
滁州市	3
龙岩市	3
荆州市	3
蚌埠市	3
新乡市	3
鞍山市	3
湘潭市	3
马鞍山市	3
三明市	3
潮州市	3
梅州市	3
秦皇岛市	3
南平市	3
吉林市	3
安庆市	3
泰安市	3
宿迁市	3
包头市	3
郴州市	3
韶关市	4
常德市	4
六安市	4
汕尾市	4
西宁市	4
茂名市	4
驻马店市	4
邢台市	4
南充市	4
宜春市	4
大理市	4
丽江市	4
延边朝鲜族自治州	4
衢州市	4
黔东南苗族侗族自治州	4
景德镇市	4
开封市	4
红河哈尼族彝族自治州	4
北海市	4
黄冈市	4
东营市	4
怀化市	4
阳江市	4
菏泽市	4
黔南布依族苗族自治州	4
宿州市	4
日照市	4
黄石市	4
周口市	4
晋中市	4
许昌市	4
拉萨市	4
锦州市	4
佳木斯市	4
淮南市	4
抚州市	4
营口市	4
曲靖市	4
齐齐哈尔市	4
牡丹江市	4
河源市	4
德阳市	4
邵阳市	4
孝感市	4
焦作市	4
益阳市	4
张家口市	4
运城市	4
大同市	4
德州市	4
玉林市	4
榆林市	4
平顶山市	4
盘锦市	4
渭南市	4
安阳市	4
铜仁市	4
宣城市	4
永州市	4
黄山市	4
西双版纳傣族自治州	4
十堰市	4
宜宾市	4
丹东市	4
乐山市	4
吉安市	4
宝鸡市	4
鄂尔多斯市	4
铜陵市	4
娄底市	4
六盘水市	4
承德市	4
保山市	4
毕节市	4
泸州市	4
恩施土家族苗族自治州	4
安顺市	4
枣庄市	4
聊城市	4
百色市	4
临汾市	4
梧州市	4
亳州市	4
德宏傣族景颇族自治州	4
鹰潭市	4
滨州市	4
绥化市	4
眉山市	4
赤峰市	4
咸宁市	4
防城港市	5
玉溪市	5
呼伦贝尔市	5
普洱市	5
葫芦岛市	5
楚雄彝族自治州	5
衡水市	5
抚顺市	5
钦州市	5
四平市	5
汉中市	5
黔西南布依族苗族自治州	5
内江市	5
湘西土家族苗族自治州	5
漯河市	5
新余市	5
延安市	5
长治市	5
文山壮族苗族自治州	5
云浮市	5
贵港市	5
昭通市	5
河池市	5
达州市	5
淮北市	5
濮阳市	5
通化市	5
松原市	5
通辽市	5
广元市	5
鄂州市	5
凉山彝族自治州	5
张家界市	5
荆门市	5
来宾市	5
忻州市	5
克拉玛依市	5
遂宁市	5
朝阳市	5
崇左市	5
辽阳市	5
广安市	5
萍乡市	5
阜新市	5
吕梁市	5
池州市	5
贺州市	5
本溪市	5
铁岭市	5
自贡市	5
锡林郭勒盟	5
白城市	5
白山市	5
雅安市	5
酒泉市	5
天水市	5
晋城市	5
巴彦淖尔市	5
随州市	5
兴安盟	5
临沧市	5
鸡西市	5
迪庆藏族自治州	5
攀枝花、阿坝藏族羌族自治州	5
鹤壁市	5
黑河市	5
双鸭山市	5
三门峡市	5
安康市	5
乌兰察布市	5
庆阳市	5
伊犁哈萨克自治州	5
儋州市	5
哈密市	5
海西蒙古族藏族自治州	5
甘孜藏族自治州	5
伊春市	5
陇南市	5
乌海市	5
林芝市	5
怒江傈僳族自治州	5
朔州市	5
阳泉市	5
嘉峪关市	5
鹤岗市	5
张掖市	5
辽源市	5
吴忠市	5
昌吉回族自治州	5
大兴安岭地区	5
巴音郭楞蒙古自治州	5
日喀则市	5
阿拉善盟	5
巴中市	5
平凉市	5
阿克苏地区	5
定西市	5
商洛市	5
金昌市	5
七台河市	5
石嘴山市	5
白银市	5
铜川市	5
武威市	5
吐鲁番市	5
固原市	5
山南市	5
临夏回族自治州	5
海东市	5
喀什地区	5
甘南藏族自治州	5
昌都市	5
中卫市	5
资阳市	5
阿勒泰地区	5
塔城地区	5
博尔塔拉蒙古自治州	5
海南藏族自治州	5
克孜勒苏柯尔克孜自治州	5
阿里地区	5
和田地区	5
玉树藏族自治州	5
那曲市	5
黄南藏族自治州	5
海北藏族自治州	5
果洛藏族自治州	5
三沙市	5
不详	6
